Unnamed: 0,RecordingTime [ms],Time of Day [h:m:s:ms],Trial,Stimulus,Export Start Trial Time [ms],Export End Trial Time [ms],Participant,Color,Tracking Ratio [%],Category Group,Category Right,Index Right,Pupil Size Right X [px],Pupil Size Right Y [px],Pupil Diameter Right [mm],Point of Regard Right X [px],Point of Regard Right Y [px],AOI Name Right,AOI Group Right,AOI Scope Right,AOI Order Right,Gaze Vector Right X,Gaze Vector Right Y,Gaze Vector Right Z,Eye Position Right X [mm],Eye Position Right Y [mm],Eye Position Right Z [mm],Pupil Position Right X [px],Pupil Position Right Y [px],Annotation Name,Annotation Description,Annotation Tags,Mouse Position X [px],Mouse Position Y [px],Scroll Direction X,Scroll Direction Y,Content
6188,3134816.674,12:55:01:000,Trial001,01 neutre2.avi,0.0,16337.723,41,CornflowerBlue,99.0346,Information,Separator,1,,,,,,,,,,,,,,,,,,,,,,,,,neutre2.avi
6189,3134824.121,12:55:01:007,Trial001,01 neutre2.avi,0.0,16337.723,41,CornflowerBlue,99.0346,Eye,,,16.9093,16.9093,4.1879,28.393745226974364,0.0,,,,,0.0000,0.0000,0.0000,-101.1514,-84.7905,669.3786,1107.8282,836.4794,,,,,,,,
6191,3134864.009,12:55:01:047,Trial001,01 neutre2.avi,0.0,16337.723,41,CornflowerBlue,99.0346,Eye,,,16.9101,16.9101,4.1774,29.05316061649423,0.0,,,,,0.0000,0.0000,0.0000,-100.9362,-84.5909,667.6508,1107.9016,836.5331,,,,,,,,
6193,3134903.758,12:55:01:087,Trial001,01 neutre2.avi,0.0,16337.723,41,CornflowerBlue,99.0346,Eye,,,16.6651,16.6651,4.1104,0.0,16.164608042207046,,,,,0.0000,0.0000,0.0000,-100.7581,-84.4051,666.4887,1107.8095,836.1743,,,,,,,,
6195,3134943.52,12:55:01:127,Trial001,01 neutre2.avi,0.0,16337.723,41,CornflowerBlue,99.0346,Eye,,,17.1260,17.1260,4.219,0.0,0.0,,,,,0.0000,0.0000,0.0000,-100.7191,-84.2683,665.9138,1107.7666,836.0866,,,,,,,,
6197,3134983.377,12:55:01:167,Trial001,01 neutre2.avi,0.0,16337.723,41,CornflowerBlue,99.0346,Eye,,,16.9463,16.9463,4.17,7.320900915321394,0.0,,,,,0.0000,0.0000,0.0000,-100.6554,-84.2100,665.0537,1108.0624,836.0747,,,,,,,,
6199,3135023.135,12:55:01:206,Trial001,01 neutre2.avi,0.0,16337.723,41,CornflowerBlue,99.0346,Eye,,,17.2042,17.2042,4.2317,19.396958279910457,0.0,,,,,0.0000,0.0000,0.0000,-100.7283,-84.2188,664.8757,1108.3176,836.0982,,,,,,,,
6201,3135062.875,12:55:01:246,Trial001,01 neutre2.avi,0.0,16337.723,41,CornflowerBlue,99.0346,Eye,,,17.2136,17.2136,4.2343,373.6167996517965,769.6730604533042,,,,,0.0000,0.0000,0.0000,-99.9963,-83.2220,665.1705,1103.6516,828.2348,,,,,,,,
6203,3135102.62,12:55:01:286,Trial001,01 neutre2.avi,0.0,16337.723,41,CornflowerBlue,99.0346,Eye,Fixation,1,17.3036,17.3036,4.2618,456.25896367340584,686.1589603887842,,,,,0.0000,0.0000,0.0000,-100.0535,-83.3144,666.0673,1102.2487,826.8851,,,,,,,,
6205,3135142.495,12:55:01:326,Trial001,01 neutre2.avi,0.0,16337.723,41,CornflowerBlue,99.0346,Eye,Fixation,1,17.1992,17.1992,4.2449,425.36421698096717,654.7927546053184,,,,,0.0000,0.0000,0.0000,-100.2579,-83.4853,667.3999,1102.2841,826.8714,,,,,,,,
6207,3135182.247,12:55:01:366,Trial001,01 neutre2.avi,0.0,16337.723,41,CornflowerBlue,99.0346,Eye,Fixation,1,17.0625,17.0625,4.2156,474.4994211961521,590.5190913180244,,,,,0.0000,0.0000,0.0000,-100.3300,-83.6237,668.0379,1102.5035,827.1255,,,,,,,,
6209,3135222.013,12:55:01:405,Trial001,01 neutre2.avi,0.0,16337.723,41,CornflowerBlue,99.0346,Eye,Fixation,2,16.4833,16.4833,4.0721,565.7101964576943,625.1786016511102,,,,,0.0000,0.0000,0.0000,-99.8707,-83.2890,667.7787,1099.6479,825.7265,,,,,,,,
6211,3135261.755,12:55:01:445,Trial001,01 neutre2.avi,0.0,16337.723,41,CornflowerBlue,99.0346,Eye,Fixation,2,16.1568,16.1568,3.9943,610.6596249269927,599.0159041840461,,,,,0.0000,0.0000,0.0000,-100.1527,-83.2886,668.0591,1099.9639,825.3190,,,,,,,,
6213,3135301.625,12:55:01:485,Trial001,01 neutre2.avi,0.0,16337.723,41,CornflowerBlue,99.0346,Eye,Fixation,2,15.2675,15.2675,3.7818,555.1103713449415,552.0007983001259,,,,,0.0000,0.0000,0.0000,-100.3561,-83.3407,668.8433,1100.3716,824.9982,,,,,,,,
6215,3135341.374,12:55:01:525,Trial001,01 neutre2.avi,0.0,16337.723,41,CornflowerBlue,99.0346,Eye,Fixation,2,15.1838,15.1838,3.7593,594.506263693286,542.9491748520526,,,,,0.0000,0.0000,0.0000,-100.2334,-83.3790,668.4755,1100.2227,825.6612,,,,,,,,
6217,3135381.114,12:55:01:564,Trial001,01 neutre2.avi,0.0,16337.723,41,CornflowerBlue,99.0346,Eye,Saccade,2,15.0005,15.0005,3.7147,609.275172286136,589.2519562693308,,,,,0.0000,0.0000,0.0000,-99.9817,-83.3842,668.5370,1099.2451,825.5996,,,,,,,,
6219,3135420.881,12:55:01:604,Trial001,01 neutre2.avi,0.0,16337.723,41,CornflowerBlue,99.0346,Eye,Fixation,3,14.2934,14.2934,3.5444,562.8559373675253,549.2822381989088,,,,,0.0000,0.0000,0.0000,-99.8201,-83.2261,669.0537,1098.1715,824.1919,,,,,,,,
6221,3135460.756,12:55:01:644,Trial001,01 neutre2.avi,0.0,16337.723,41,CornflowerBlue,99.0346,Eye,Fixation,3,14.4619,14.4619,3.5835,587.7096964096091,544.2809689182633,,,,,0.0000,0.0000,0.0000,-99.8652,-83.1527,668.6452,1098.4592,824.0925,,,,,,,,
6223,3135500.504,12:55:01:684,Trial001,01 neutre2.avi,0.0,16337.723,41,CornflowerBlue,99.0346,Eye,Fixation,3,13.7333,13.7333,3.4058,617.310083979892,543.8035586617814,,,,,0.0000,0.0000,0.0000,-99.9999,-83.2687,668.6668,1099.0938,824.5632,,,,,,,,
6225,3135540.245,12:55:01:724,Trial001,01 neutre2.avi,0.0,16337.723,41,CornflowerBlue,99.0346,Eye,Fixation,3,14.3570,14.3570,,,,,,,,0.0000,0.0000,0.0000,-100.0116,-83.3869,668.8647,1098.8876,825.1264,,,,,,,,
6227,3135579.993,12:55:01:763,Trial001,01 neutre2.avi,0.0,16337.723,41,CornflowerBlue,99.0346,Eye,Fixation,3,13.7509,13.7509,,,,,,,,0.0000,0.0000,0.0000,-100.0303,-83.4088,670.2936,1098.2351,824.4656,,,,,,,,
6229,3135619.87,12:55:01:803,Trial001,01 neutre2.avi,0.0,16337.723,41,CornflowerBlue,99.0346,Eye,Fixation,3,13.6717,13.6717,,,,,,,,0.0000,0.0000,0.0000,-99.9050,-83.2802,669.7710,1097.9348,824.3887,,,,,,,,
6231,3135659.627,12:55:01:843,Trial001,01 neutre2.avi,0.0,16337.723,41,CornflowerBlue,99.0346,Eye,Fixation,3,13.3778,13.3778,3.3239,664.3635220755342,468.503359098139,,,,,0.0000,0.0000,0.0000,-99.8071,-83.2979,669.7156,1097.6876,824.4387,,,,,,,,
