feature,gain,perm_imp_mean,perm_imp_std
sac_rate_per_min,22.239601135253906,0.1401,0.0119
fix_dur_mean_ms,8.153118133544922,0.0228,0.0027
pupil_slope,6.2543439865112305,0.0156,0.0016
fix_rate_per_min,9.407523155212402,0.008,0.0016
ifd_mean,5.082879543304443,0.0066,0.0008
fix_count,6.102700710296631,0.0066,0.002
fix_dur_max_ms,7.1044793128967285,0.0061,0.0014
sac_amplitude_mean,5.7900238037109375,0.0049,0.0008
gaze_x_mean,4.1761674880981445,0.0048,0.0008
fix_seq_norm,11.09989070892334,0.0048,0.0018
blink_dur_mean_ms,4.465504169464111,0.0046,0.0006
blink_rate_per_min,8.240145683288574,0.0045,0.001
fix_dur_cv,3.8286240100860596,0.004,0.0005
fix_dispersion_mean,4.096421718597412,0.0032,0.0005
sac_fix_ratio,5.5502119064331055,0.0032,0.0006
fix_dur_std_ms,4.387378692626953,0.0011,0.0003
